value	class_draft	evidence	source
Bull. hist.-phil.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Bullet. hist.-phil.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Bulletin de lʼAcad. Imp. des sc. de St.-Pét.	journal-periodical	periodical keyword in tooltip	no-bib-record
BÖHTL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BÖHTL. Chrest.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BÖHTLINGK	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BÖHTLINGK in der Einl. zu seiner Ausg.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BÖHTLINGK
BÖHTLINGK, Ueber die Sprache der Jakuten	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BÖHTLINGKʼs Ausg. d. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BÖHTLINGK
BÜHLER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BÜHLERʼs Ausg. des PAÑCAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BÜHLER
BĀDAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀDAR. Comm.	commentary-of-work	Comm./Tīkā marker in value	pwgbib-prefix:BĀDAR.
BĀDARI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀLAB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀLABH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀLAKĀSYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀLAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀLARĀM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀPŪDEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀṆABHAṬṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĀṢKALOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĪJAGAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BĪJAGAṆITA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BĪJĀBHIDHĀNA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BṚH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚH. DEV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚH. J.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BṚH.
BṚH. ĀR. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚH. ĀR. UP. (POL.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHADD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHADDEV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHADDEVATĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHADDHARMA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHADDHARMA-P., UTTARAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BṚHADDHARMA-P.
BṚHADDHARMAPURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHANNANDIKEŚVARA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHANNĀRAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHANNĀRAD. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHANNĀRADĪYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHANNĀRADĪYA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHANNĪLATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BṚHASP.	person-author	person descriptor in tooltip	pwgbib-exact
BṚHASPATI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAITANYAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAITANYACANDROD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAITANYACANDRODAYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAKR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAKRAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAKRADATTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAKRAPĀṆIDATTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAKRAVARMAN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CANDRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CANDRAGOMIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CANDRAKĪRTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CANDRAŚEKHARA-VĀCASPATIʼs CANDANADHENUVIDHI	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:CANDRA
CANDRĀLOKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CARAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CARAKA, Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:CARAKA
CARAṆAVY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CARAṆAVYŪHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAREY	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAREY Gramm.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:CAREY
CARR	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CARR, Sanskrit Proverbs	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CATURBH.	person-author	person descriptor in tooltip	pwgbib-exact
CAURAP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAURAPAÑCĀŚIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAṆḌIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CAṆḌĪ	book-work	default: bib expansion with no person/periodical signal	no-bib-record
CH. BRUCE, On the Vedic conception of the Earth	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:CH. BRUCE
CHAMB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHANDAS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHANDAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:CHANDAS
CHANDOGAPAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHANDOGAPARIŚIṢṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHANDOM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHANDOMAÑJARĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHANDORṆAVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHĀND. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHĀND. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CHĀNDOGYABHĀṢYA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
COLEBR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COLEBROOKE	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COLEBR. Alg.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COLEBR. Dig.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COLEBR. Gr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COLEBR. Misc.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COLEBR. Misc. Ess.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COL. Misc. Ess.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
COW.	book-work	default: bib expansion with no person/periodical signal	pwgbib-case
COWELL	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CSOMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CSOMA, Tib. Gr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CURTIUS, Gr. d. gr. Etym.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CURTIUS, Griech. Etym.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Calc.	person-western?	Latin-script surname pattern	no-bib-record
Calc. Aus.	person-western?	Latin-script surname pattern	no-bib-record
Calc. Ausgg.	person-western?	Latin-script surname pattern	no-bib-record
Carl Graf v. GÖRTZ, Reise um die Welt	person-western?	Latin-script surname pattern	no-bib-record
Chamb.	person-western?	Latin-script surname pattern	pwgbib-case
Chambers	person-western?	Latin-script surname pattern	no-bib-record
Chrest.	person-western?	Latin-script surname pattern	no-bib-record
Compendiums des Vaiśeṣika-Systems	person-western?	Latin-script surname pattern	no-bib-record
CĀT.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
CĀTAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CĀTAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CĀṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
CŪLIKOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAKṢA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAMAYANTĪK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAMAYANTĪKATHĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAMPATĪŚ.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
DATT. MĪM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DATTAKA-M.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
DATTAKAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DATTAKACANDRIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DATTAKAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DATTAKAMĪM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAŚABH.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
DAŚABHŪM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAŚABHŪMĪŚVARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAŚAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAŚAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAṆḌIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DAṆḌĀDINĀTHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DELBRÜCK	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DELIUS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEV. ed. POL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:DEV.
DEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVALA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVARĀJA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVARĀJAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:DEVARĀJAY
DEVĪ-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVĪ-P., DEVĪNIRUKTĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:DEVĪ-P.
DEVĪ-P., KUṆḌAPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:DEVĪ-P.
DEVĪBHĀG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVĪBHĀG. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVĪM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DEVĪPURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHAMMAP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHAMMAPADA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHANAÑJAYA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
DHANURV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHANURVEDA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHANV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHANVANT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHANVANTARI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHANVANTARIʼs NIGHAṆṬU	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:DHANVANTARI
DHANVIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARA.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARAṆI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARAṆĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARMA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARMADĪPIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARMAPRADĪPA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARMAVIV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHARMAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
DHYĀNAB. UP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
